Sentence ID,Concept ID,Level 1,Level 2,Level 3
1,C0002170,0,1,1
1,C0043094,1,1,1
1,C0521008,0,0,1
1,C1262477,1,1,1
2,C0036104,1,1,1
3,C0036104,1,1,1
4,C0424092,0,0,1
4,C0521008,0,0,1
4,C0549622,1,1,0
5,C0015967,0,0,1
5,C0016382,0,0,1
5,C0019112,0,0,1
5,C0233660,0,0,1
5,C0424092,0,0,1
6,C0027497,1,1,1
6,C0028643,0,0,1
6,C0038661,1,1,0
6,C0042963,0,0,1
6,C0085633,0,0,1
6,C0344232,1,1,1
6,C0438696,1,1,0
7,C0028643,0,0,1
7,C0042963,0,0,1
7,C0344232,1,1,1
8,C0038999,0,0,1
8,C0392674,0,0,1
9,C0011206,0,0,1
10,C0001241,0,0,1
10,C0036104,0,0,1
11,C0003467,1,1,0
11,C0027497,1,1,1
11,C0030318,1,1,1
11,C0042963,0,0,1
11,C0086769,1,1,1
11,C0700031,0,1,0
12,C0003467,1,1,0
12,C0027497,1,1,1
12,C0028643,0,0,1
12,C0036104,0,0,1
12,C0042963,0,0,1
12,C0220870,0,0,1
12,C0542313,0,0,1
13,C0003467,1,1,0
13,C0012833,1,1,0
13,C0220870,0,0,1
14,C0002957,0,0,1
14,C0012833,1,1,0
14,C0027497,0,0,1
14,C0038999,0,0,1
14,C0220870,0,0,1
14,C0425082,0,0,1
14,C0581879,0,0,1
15,C0012833,1,1,0
15,C0027497,1,1,1
15,C0030193,0,0,1
15,C0038999,0,0,1
15,C0042963,0,0,1
15,C0220870,0,0,1
15,C0239833,0,0,1
15,C0575805,0,0,1
15,C0581879,0,0,1
16,C0001973,1,1,1
16,C0010200,1,1,1
16,C0010201,1,1,1
16,C0043094,1,1,1
17,C0039231,1,1,1
17,C0042571,1,1,1
18,C0001241,0,0,1
18,C0028643,0,0,1
18,C0425082,0,0,1
20,C0043094,0,1,1
21,C0012833,1,1,0
21,C0027497,1,1,1
21,C0039231,1,1,1
21,C0042571,1,1,1
21,C0042963,0,0,1
21,C0220870,0,0,1
21,C0233730,0,0,1
22,C0001241,0,0,1
22,C0036104,1,1,1
22,C0042571,1,1,1
23,C0018616,0,0,1
23,C0042571,1,1,1
23,C0751908,0,0,1
24,C0015726,0,0,1
24,C0042571,1,1,1
25,C0009676,1,1,0
25,C0016382,1,1,1
25,C0026821,0,0,1
25,C0033774,0,0,1
25,C0037763,1,1,1
25,C0231530,1,1,0
25,C0240327В,0,0,1
25,C0917801,1,1,1
26,C0015967,0,0,1
26,C0036104,0,0,1
26,C0233730,0,0,1
27,C0424092,0,0,1
28,C0001241,0,0,1
28,C0011124,1,1,0
28,C0220870,0,0,1
28,C0233624,0,0,1
28,C0233730,0,0,1
28,C0344232,0,0,1
28,C0581879,0,0,1
28,C0917801,1,1,1
29,C0036104,0,0,1
29,C0085633,0,0,1
29,C0581879,0,0,1
30,C0043094,1,1,1
31,C0038990,0,0,1
31,C0242350,1,1,0
31,C0438697,1,1,1
31,C0700590,0,0,1
33,C0011057,1,1,1
33,C0149931,1,1,0
33,C0877781,0,0,1
34,C0015967,0,0,1
34,C0016382,0,0,1
34,C0497247,1,1,0
35,C0015967,0,0,1
35,C0016382,0,0,1
35,C0042963,0,0,1
36,C0038990,0,0,1
36,C0235195,1,1,0
36,C0497406,0,0,1
40,C0015967,0,0,1
40,C0424092,0,0,1
41,C0001241,0,0,1
41,C0028643,1,1,1
41,C0033774,0,0,1
41,C0232937,0,0,1
41,C0233730,0,0,1
41,C0563146,0,0,1
42,C0220870,0,0,1
43,C0003467,1,1,0
43,C0018681,1,1,0
43,C0042963,1,1,1
43,C0220870,0,0,1
43,C0344232,1,1,1
43,C0424444,1,1,1
43,C0850674,0,0,1
43,C4075722,0,1,1
44,C0233469,0,0,1
44,C0581879,0,0,1
45,C0006325,0,1,1
45,C0011206,0,0,1
45,C0015726,0,0,1
45,C0018681,1,1,0
45,C0220870,0,0,1
45,C0917801,1,1,1
46,C0015726,0,0,1
46,C0016382,0,0,1
46,C0581879,0,0,1
47,C0003467,1,1,0
47,C0455769,0,1,0
48,C0036104,0,0,1
48,C0233730,0,0,1
48,C0278180,0,0,1
48,C0497406,0,0,1
48,C0581881,0,1,0
49,C0233763,0,0,1
49,C0547030,0,0,1
49,C0560617,0,0,1
50,C0003467,1,1,0
50,C0424092,0,0,1
51,C0012833,1,1,0
51,C0015672,1,1,0
51,C0085632,1,1,0
51,C0220870,0,0,1
51,C0242979,0,1,0
51,C0557875,0,0,1
51,C0917801,1,1,1
53,C0002957,0,0,1
53,C0392674,0,0,1
53,C0424092,0,0,1
53,C0425082,0,0,1
53,C0425251,0,0,1
53,C0557875,1,1,1
54,C0233494,1,1,1
54,C0917801,1,1,1
55,C0018616,1,1,1
55,C0026821,0,0,1
55,C0036104,0,0,1
56,C0028081,1,1,1
56,C0038990,1,1,1
56,C0085633,1,1,1
56,C0220870,0,0,1
56,C0233730,0,0,1
56,C0235169,1,1,0
56,C0425766,0,0,1
57,C0038661,1,1,0
57,C0424000,1,1,0
57,C0438696,1,1,0
57,C0581879,0,0,1
58,C0015672,1,1,0
58,C0015726,0,0,1
58,C0018681,1,1,0
58,C0027497,1,1,1
58,C0028643,0,0,1
58,C0037317,0,0,1
58,C0042963,0,0,1
58,C0043094,1,1,1
58,C0557875,0,0,1
58,c0037317,0,0,1
59,C0019112,0,0,1
59,C0036104,1,1,1
59,C0042963,0,0,1
59,C0392171,0,0,1
60,C0002957,0,0,1
60,C0240327В,0,0,1
60,C0424092,0,0,1
60,C0521008,0,0,1
62,C0424092,0,0,1
63,C0030193,1,1,1
64,C0002957,0,0,1
65,C0030193,0,0,1
65,C0231303,0,0,1
66,C0016382,0,0,1
66,C0036104,0,0,1
66,C0036973,0,0,1
66,C0040822,0,0,1
66,C0085593,1,1,1
66,C0582093,0,0,1
67,C0015726,0,0,1
67,C0043387,0,0,1
67,C0557885,0,0,1
67,C0581879,0,0,1
68,C0030193,1,1,1
68,C0220870,0,0,1
68,C0234238,1,1,0
68,C0423572,1,1,0
68,C0560617,0,0,1
69,C0002170,0,1,1
69,C0015672,1,1,0
69,C0023380,1,1,0
69,C0043094,1,1,1
69,C0557875,0,0,1
69,C1262477,1,1,1
70,C0033774,0,0,1
70,C0581879,0,0,1
73,C0015672,1,1,0
73,C0557875,0,0,1
75,C0026603,0,0,1
75,C0314719,1,1,0
75,C0424092,0,0,1
76,C0036104,0,0,1
77,C0015726,0,0,1
77,C0015967,0,0,1
77,C0036104,0,0,1
78,C3839824,0,0,1
79,C0003467,1,1,0
79,C0027497,1,1,1
79,C0028643,0,0,1
79,C0037317,0,1,1
79,C0042963,0,0,1
79,C0220870,0,0,1
79,C0392674,1,1,1
79,C0557875,0,0,1
79,c0037317,0,1,1
80,C0012833,1,1,0
80,C0220870,0,0,1
80,C0392171,0,0,1
81,C0542476,0,0,1
82,C0042963,1,1,1
85,C0001241,0,0,1
85,C0026603,0,0,1
85,C0033774,0,0,1
85,C0042963,0,0,1
85,C0151786,0,1,0
85,C0278016,0,0,1
85,C0392674,0,0,1
85,C0424092,0,0,1
85,C0425082,0,0,1
85,C0578673,1,1,0
85,C0917801,0,0,1
86,C0015726,0,0,1
86,C0028081,0,0,1
86,C0038990,0,0,1
86,C0220870,0,0,1
86,C0542476,1,1,1
87,C0036104,0,0,1
88,C0581879,0,0,1
89,C0038661,1,1,0
89,C0424000,0,1,0
89,C0424092,0,0,1
89,C0438696,1,1,0
89,C0581879,0,0,1
90,C0003467,1,1,0
90,C0004095,0,0,1
90,C0015967,0,0,1
90,C0027497,1,1,1
90,C0030318,1,1,1
90,C0036104,0,0,1
90,C0042963,0,0,1
90,C0231403,1,1,0
90,C0240327В,0,0,1
92,C0030252,1,1,0
92,C0030318,0,0,1
92,C0220870,0,0,1
92,C0235239,0,0,1
92,C4075722,0,1,1
93,C0001973,0,0,1
93,C0030252,1,1,0
93,C0030318,1,1,1
93,C0037320,0,0,1
93,C0220870,0,0,1
93,C0522165,0,0,1
93,C0581879,0,0,1
94,C0003467,1,1,0
94,C0036104,0,0,1
94,C0220870,0,0,1
94,C0235239,0,1,1
94,C0425082,0,0,1
96,C0036104,1,1,1
96,C0038661,1,1,0
96,C0424000,1,1,0
96,C0438696,1,1,0
96,C0581879,0,0,1
97,C0001241,0,0,1
97,C0036104,0,0,1
97,C0233730,0,0,1
98,C0015967,0,0,1
98,C0030318,0,0,1
98,C0038661,1,1,0
98,C0438696,1,1,0
99,C0003467,1,1,0
99,C0038661,1,1,0
99,C0438696,1,1,0
99,C0917801,1,1,1
100,C0015726,0,0,1
100,C0030193,1,1,1
100,C0220870,0,0,1
101,C0019993,1,1,0
101,C0036104,0,0,1
102,C0003467,1,1,0
102,C0006325,0,1,1
102,C0015726,0,0,1
102,C0016382,0,0,1
102,C0028084,1,1,0
102,C0038990,1,1,1
102,C0233730,0,0,1
102,C0424444,0,1,1
102,C0542476,0,0,1
103,C0006325,0,1,1
103,C0038999,0,0,1
103,C0392674,0,0,1
103,C0424091,0,0,1
103,C0424092,0,0,1
103,C0575805,0,0,1
103,C1562291,0,0,1
104,C0220870,0,0,1
104,C0233730,0,0,1
104,C0557875,0,0,1
105,C0002957,0,0,1
106,C0003467,1,1,0
106,C0015967,0,0,1
106,C0018681,1,1,0
106,C0030318,1,1,1
106,C0036104,0,0,1
106,C0040822,1,1,1
106,C0043387,1,1,1
106,C0086769,1,1,1
106,C0231403,1,1,0
106,C0239882,0,0,1
106,C0425082,0,0,1
106,C0700031,1,1,0
107,C0038999,0,0,1
108,C0004095,0,0,1
108,C0231303,0,0,1
108,C0232197,0,0,1
109,C0011991,0,0,1
109,C0015967,0,0,1
109,C0016382,0,0,1
109,C0020175,0,0,1
109,C0026821,1,1,1
109,C0036104,0,0,1
109,C0037763,0,0,1
109,C0220870,0,0,1
109,C0221512,0,1,0
109,C0232292,1,1,1
109,C0234238,1,1,0
109,C0278016,0,0,1
109,C0344232,0,0,1
109,C0344375,1,1,1
109,C0392171,0,0,1
109,C0392674,0,0,1
109,C0557875,0,0,1
109,C0600142,0,0,1
109,C1443924,0,0,1
109,C2129214,0,0,1
109,C3672010,0,0,1
110,C0038990,0,0,1
110,C0220870,0,0,1
110,C0235108,0,0,1
110,C0242362,0,0,1
110,C0522165,0,0,1
111,C0003467,1,1,0
111,C0018681,1,1,0
111,C0038661,1,1,0
111,C0043094,0,0,1
