iter	Logloss
0	0.6788501595
1	0.6662839051
2	0.6560387432
3	0.6474274152
4	0.6390862616
5	0.630870267
6	0.6239189855
7	0.6174553316
8	0.6115826641
9	0.6073700492
10	0.6023267756
11	0.5982356883
12	0.5946394438
13	0.5906617322
14	0.5883940301
15	0.5852464912
16	0.5820136483
17	0.5807150941
18	0.5783152515
19	0.5764106989
20	0.5748991476
21	0.5741389616
22	0.5724361659
23	0.5700735662
24	0.568835519
25	0.5677688132
26	0.5665592305
27	0.5659186403
28	0.5647790973
29	0.5629494812
30	0.5623432988
31	0.5617514003
32	0.5610448738
33	0.5604556767
34	0.5596128361
35	0.558719575
36	0.558226174
37	0.5570325161
38	0.556236866
39	0.5556622926
40	0.5552862988
41	0.5547460509
42	0.5540647818
43	0.5530081803
44	0.5524954263
45	0.5516072782
46	0.5506437345
47	0.5500394327
48	0.5494511481
49	0.5490248207
50	0.5483595035
51	0.5478091385
52	0.5474768972
53	0.5469600311
54	0.5463111984
55	0.5454459706
56	0.5448824854
57	0.5445227784
58	0.5440721003
59	0.5437011128
60	0.5433171601
61	0.5424841371
62	0.5417850687
63	0.5412517507
64	0.5403005878
65	0.5399109487
66	0.539430238
67	0.5391058248
68	0.5386809383
69	0.5383925693
70	0.5378273527
71	0.5373711807
72	0.5369099495
73	0.5365387628
74	0.5361144281
75	0.5357458586
76	0.5353060175
77	0.534830575
78	0.5345282277
79	0.5339652522
80	0.5334081259
81	0.5329979349
82	0.5326205832
83	0.5319363124
84	0.5316170465
85	0.5311702287
86	0.5306637065
87	0.530329984
88	0.5300198385
89	0.5296987751
90	0.529511091
91	0.5292655538
92	0.5288387527
93	0.5283985034
94	0.5283783568
95	0.5280304958
96	0.5278201563
97	0.5273474573
98	0.526894832
99	0.5263980237
100	0.525879555
101	0.5255076611
102	0.5252050902
103	0.5247302689
104	0.5243307376
105	0.5240638168
106	0.5237522544
107	0.5234880231
108	0.5231540065
109	0.5228252093
110	0.5225319642
111	0.5221749131
112	0.5216117401
113	0.5213369435
114	0.5210353266
115	0.520823508
116	0.5204945349
117	0.5200441249
118	0.5195412529
119	0.5191383982
120	0.5186993181
121	0.5181440534
122	0.5179094072
123	0.517652749
124	0.5173822377
125	0.5171703143
126	0.5168979177
127	0.5166454346
128	0.5162880885
