iter	Passed	Remaining
0	3	3624
1	7	3966
2	12	4073
3	16	4156
4	21	4189
5	26	4308
6	30	4360
7	35	4360
8	39	4363
9	43	4325
10	48	4353
11	53	4428
12	58	4439
13	63	4440
14	68	4466
15	73	4497
16	78	4521
17	83	4556
18	88	4574
19	93	4587
20	98	4607
21	103	4617
22	109	4636
23	114	4656
24	119	4679
25	125	4685
26	130	4707
27	135	4703
28	140	4694
29	145	4692
30	149	4686
31	154	4685
32	160	4696
33	164	4685
34	169	4682
35	174	4682
36	179	4684
37	185	4694
38	190	4705
39	196	4708
40	200	4700
41	206	4701
42	210	4689
43	215	4678
44	220	4668
45	224	4651
46	228	4640
47	233	4627
48	238	4621
49	243	4619
50	248	4618
51	253	4624
52	258	4619
53	263	4608
54	267	4600
55	272	4587
56	276	4574
57	280	4558
58	285	4550
59	289	4538
60	293	4523
61	298	4514
62	302	4501
63	307	4494
64	311	4481
65	315	4469
66	320	4457
67	325	4456
68	330	4459
69	335	4459
70	340	4459
71	345	4452
72	350	4449
73	355	4442
74	360	4441
75	364	4437
76	369	4431
77	374	4421
78	378	4413
79	382	4401
80	387	4401
81	392	4394
82	397	4390
83	401	4383
84	406	4377
85	411	4372
86	415	4364
87	420	4357
88	425	4350
89	429	4346
90	434	4339
91	439	4333
92	444	4332
93	449	4330
94	451	4304
95	456	4296
96	461	4297
97	466	4296
98	472	4298
99	478	4305
100	483	4307
101	488	4304
102	493	4300
103	499	4300
104	504	4296
105	509	4295
106	514	4292
107	518	4285
108	523	4278
109	528	4272
110	532	4265
111	536	4256
112	541	4247
113	545	4239
114	549	4230
115	553	4220
116	557	4210
117	562	4203
118	566	4195
119	571	4189
120	577	4192
121	582	4189
122	587	4188
123	592	4186
124	597	4185
125	603	4183
126	608	4181
127	613	4182
128	620	4187
129	626	4196
130	638	4238
131	645	4245
132	652	4250
133	659	4261
134	667	4276
135	675	4291
136	682	4297
137	704	4400
138	711	4405
139	718	4411
140	724	4411
141	729	4409
142	735	4409
143	741	4404
144	746	4401
145	753	4405
146	760	4411
147	766	4412
148	772	4413
149	778	4410
150	783	4407
151	790	4408
152	796	4411
153	803	4412
154	810	4415
155	816	4414
156	821	4412
157	830	4423
158	840	4444
159	846	4443
160	853	4445
161	859	4446
162	865	4442
163	870	4439
164	876	4435
165	882	4432
166	888	4432
167	894	4428
168	900	4425
169	905	4420
170	910	4415
171	916	4410
172	921	4403
173	926	4397
174	931	4393
175	937	4387
176	942	4384
177	948	4380
178	954	4379
179	960	4377
180	966	4372
181	971	4366
182	977	4362
183	986	4373
184	991	4368
185	997	4365
186	1002	4360
187	1013	4375
188	1033	4432
189	1039	4431
190	1045	4428
191	1051	4424
192	1057	4423
193	1063	4419
194	1068	4412
195	1074	4405
196	1079	4398
197	1084	4392
198	1090	4387
199	1094	4379
200	1099	4370
201	1103	4360
202	1107	4350
203	1112	4340
204	1116	4330
205	1120	4319
206	1125	4310
207	1129	4300
208	1133	4291
209	1138	4281
210	1142	4272
211	1146	4262
212	1150	4252
213	1155	4242
214	1159	4234
215	1164	4225
216	1168	4215
217	1172	4205
218	1177	4197
219	1181	4188
220	1188	4189
221	1196	4193
222	1201	4187
223	1207	4182
224	1211	4174
225	1216	4164
226	1220	4154
227	1224	4145
228	1228	4135
229	1232	4126
230	1236	4117
231	1241	4109
232	1245	4100
233	1249	4090
234	1253	4080
235	1257	4071
236	1261	4060
237	1265	4051
238	1269	4042
239	1274	4036
240	1279	4030
241	1284	4023
242	1289	4015
243	1293	4007
244	1297	3999
245	1302	3991
246	1306	3983
247	1310	3975
248	1315	3968
249	1320	3962
250	1325	3956
251	1330	3949
252	1335	3942
253	1339	3935
254	1344	3928
255	1349	3922
256	1355	3918
257	1360	3912
258	1365	3906
259	1370	3900
260	1374	3892
261	1379	3886
262	1384	3879
263	1388	3871
264	1393	3865
265	1398	3860
266	1404	3855
267	1409	3849
268	1414	3842
269	1418	3836
270	1423	3829
271	1428	3824
272	1433	3817
273	1438	3812
274	1443	3806
275	1448	3799
276	1453	3793
277	1458	3787
278	1462	3779
279	1467	3773
280	1472	3767
281	1477	3761
282	1483	3758
283	1488	3752
284	1492	3745
285	1497	3738
286	1502	3732
287	1506	3725
288	1511	3719
289	1517	3715
290	1522	3708
291	1526	3701
292	1531	3696
293	1536	3689
294	1540	3681
295	1546	3678
296	1551	3671
297	1555	3665
298	1560	3658
299	1565	3653
300	1570	3647
301	1575	3641
302	1580	3636
303	1585	3629
304	1590	3623
305	1595	3617
306	1599	3610
307	1603	3603
308	1610	3601
309	1615	3595
310	1620	3589
311	1625	3584
312	1630	3578
313	1635	3573
314	1641	3568
315	1646	3563
316	1650	3557
317	1655	3551
318	1661	3547
319	1666	3541
320	1671	3534
321	1677	3531
322	1682	3526
323	1686	3519
324	1692	3516
325	1699	3513
326	1704	3508
327	1710	3504
328	1715	3499
329	1720	3492
330	1725	3486
331	1730	3481
332	1735	3475
333	1739	3468
334	1745	3464
335	1749	3457
336	1754	3451
337	1759	3445
338	1763	3439
339	1768	3433
340	1773	3427
341	1778	3421
342	1783	3415
343	1788	3410
344	1794	3406
345	1799	3401
346	1804	3395
347	1809	3390
348	1814	3385
349	1819	3379
350	1824	3373
351	1829	3367
352	1834	3361
353	1839	3356
354	1843	3349
355	1848	3343
356	1853	3338
357	1858	3332
358	1863	3326
359	1868	3322
360	1873	3316
361	1879	3311
362	1885	3307
363	1890	3303
364	1895	3297
365	1900	3291
366	1905	3286
367	1910	3281
368	1915	3275
369	1920	3269
370	1925	3263
371	1930	3258
372	1935	3253
373	1940	3247
374	1945	3241
375	1950	3237
376	1955	3230
377	1959	3225
378	1969	3227
379	1974	3222
380	1981	3218
381	1986	3213
382	1992	3209
383	1997	3204
384	2002	3199
385	2007	3193
386	2012	3188
387	2017	3182
388	2022	3177
389	2028	3172
390	2034	3169
391	2040	3164
392	2045	3159
393	2051	3154
394	2056	3149
395	2061	3144
396	2066	3139
397	2072	3134
398	2077	3129
399	2083	3125
400	2089	3120
401	2094	3115
402	2100	3111
403	2105	3105
404	2111	3102
405	2118	3099
406	2126	3098
407	2133	3095
408	2140	3092
409	2146	3089
410	2152	3085
411	2159	3081
412	2164	3076
413	2178	3083
414	2185	3080
415	2192	3077
416	2198	3074
417	2204	3069
418	2209	3063
419	2214	3058
420	2218	3051
421	2223	3045
422	2228	3039
423	2233	3034
424	2239	3030
425	2244	3024
426	2250	3020
427	2256	3015
428	2261	3009
429	2266	3004
430	2271	2998
431	2277	2993
432	2283	2989
433	2289	2985
434	2295	2981
435	2300	2975
436	2304	2969
437	2310	2964
438	2315	2959
439	2320	2953
440	2325	2947
441	2331	2943
442	2337	2938
443	2342	2932
444	2346	2926
445	2351	2920
446	2355	2914
447	2360	2908
448	2364	2901
449	2368	2895
450	2373	2889
451	2378	2883
452	2382	2876
453	2387	2870
454	2391	2864
455	2396	2859
456	2402	2854
457	2407	2848
458	2413	2844
459	2418	2839
460	2424	2834
461	2430	2829
462	2435	2824
463	2441	2820
464	2447	2815
465	2453	2811
466	2458	2806
467	2463	2800
468	2469	2795
469	2473	2789
470	2478	2784
471	2484	2778
472	2489	2773
473	2494	2768
474	2500	2763
475	2505	2758
476	2510	2752
477	2515	2747
478	2520	2741
479	2525	2736
480	2530	2730
481	2536	2725
482	2541	2720
483	2546	2714
484	2552	2709
485	2558	2705
486	2564	2701
487	2570	2696
488	2575	2691
489	2581	2686
490	2586	2681
491	2591	2675
492	2596	2669
493	2601	2664
494	2606	2659
495	2613	2655
496	2619	2650
497	2625	2646
498	2639	2650
499	2645	2645
500	2651	2641
501	2657	2635
502	2662	2631
503	2668	2626
504	2674	2621
505	2680	2617
506	2693	2619
507	2700	2615
508	2705	2609
509	2710	2604
510	2715	2598
511	2719	2592
512	2724	2586
513	2729	2581
514	2734	2575
515	2739	2569
516	2743	2563
517	2748	2557
518	2753	2551
519	2757	2545
520	2762	2539
521	2767	2533
522	2771	2527
523	2776	2522
524	2781	2516
525	2786	2511
526	2791	2505
527	2796	2499
528	2801	2493
529	2805	2487
530	2810	2481
531	2814	2476
532	2819	2470
533	2823	2463
534	2827	2457
535	2832	2451
536	2836	2445
537	2840	2439
538	2845	2433
539	2850	2428
540	2854	2421
541	2858	2415
542	2863	2409
543	2867	2403
544	2873	2398
545	2877	2392
546	2882	2387
547	2887	2381
548	2892	2376
549	2897	2370
550	2902	2364
551	2907	2359
552	2912	2354
553	2917	2348
554	2922	2342
555	2926	2337
556	2931	2331
557	2937	2326
558	2942	2321
559	2946	2315
560	2951	2309
561	2956	2303
562	2969	2304
563	2974	2299
564	2979	2293
565	2984	2288
566	2990	2283
567	2995	2278
568	3001	2273
569	3006	2267
570	3011	2262
571	3016	2257
572	3021	2251
573	3027	2246
574	3032	2241
575	3037	2236
576	3043	2230
577	3048	2225
578	3053	2220
579	3058	2214
580	3063	2209
581	3067	2203
582	3072	2197
583	3077	2192
584	3083	2187
585	3088	2182
586	3094	2176
587	3099	2171
588	3104	2166
589	3109	2160
590	3114	2155
591	3119	2149
592	3124	2144
593	3128	2138
594	3133	2132
595	3137	2126
596	3142	2121
597	3146	2115
598	3151	2109
599	3155	2103
600	3160	2098
601	3165	2093
602	3171	2087
603	3175	2082
604	3180	2076
605	3185	2070
606	3189	2064
607	3193	2058
608	3197	2053
609	3202	2047
610	3206	2041
611	3210	2035
612	3215	2029
613	3219	2024
614	3224	2018
615	3230	2013
616	3234	2008
617	3239	2002
618	3243	1996
619	3248	1991
620	3253	1985
621	3258	1980
622	3262	1974
623	3267	1968
624	3272	1963
625	3278	1958
626	3284	1953
627	3289	1948
628	3294	1943
629	3298	1937
630	3303	1931
631	3307	1925
632	3311	1920
633	3315	1914
634	3320	1908
635	3324	1902
636	3328	1896
637	3333	1891
638	3337	1885
639	3341	1879
640	3346	1873
641	3350	1868
642	3355	1862
643	3360	1857
644	3364	1851
645	3369	1846
646	3374	1841
647	3379	1835
648	3384	1830
649	3390	1825
650	3395	1820
651	3401	1815
652	3407	1810
653	3412	1805
654	3416	1799
655	3420	1793
656	3424	1788
657	3429	1782
658	3433	1776
659	3438	1771
660	3442	1765
661	3447	1760
662	3451	1754
663	3456	1749
664	3461	1743
665	3465	1738
666	3470	1732
667	3474	1727
668	3480	1721
669	3486	1717
670	3495	1714
671	3501	1709
672	3506	1703
673	3512	1698
674	3517	1693
675	3523	1688
676	3527	1683
677	3532	1677
678	3538	1672
679	3543	1667
680	3549	1662
681	3554	1657
682	3559	1652
683	3564	1646
684	3569	1641
685	3573	1635
686	3578	1630
687	3584	1625
688	3588	1619
689	3593	1614
690	3598	1609
691	3603	1603
692	3609	1598
693	3615	1594
694	3621	1589
695	3627	1584
696	3633	1579
697	3638	1574
698	3643	1569
699	3649	1564
700	3654	1558
701	3659	1553
702	3665	1548
703	3671	1543
704	3680	1539
705	3685	1534
706	3692	1530
707	3699	1525
708	3704	1520
709	3709	1515
710	3714	1509
711	3718	1504
712	3723	1498
713	3727	1493
714	3732	1487
715	3736	1482
716	3740	1476
717	3745	1471
718	3750	1465
719	3754	1460
720	3759	1454
721	3763	1449
722	3768	1443
723	3773	1438
724	3777	1432
725	3782	1427
726	3787	1422
727	3792	1416
728	3796	1411
729	3800	1405
730	3805	1400
731	3809	1394
732	3814	1389
733	3818	1383
734	3822	1378
735	3827	1372
736	3831	1367
737	3836	1361
738	3840	1356
739	3845	1351
740	3850	1345
741	3854	1340
742	3864	1336
743	3868	1331
744	3873	1325
745	3878	1320
746	3883	1315
747	3888	1309
748	3892	1304
749	3897	1299
750	3902	1293
751	3906	1288
752	3910	1282
753	3914	1277
754	3919	1271
755	3924	1266
756	3928	1261
757	3933	1255
758	3937	1250
759	3942	1245
760	3946	1239
761	3951	1234
762	3964	1231
763	3970	1226
764	3974	1221
765	3979	1215
766	3984	1210
767	3988	1205
768	4003	1202
769	4008	1197
770	4013	1192
771	4018	1186
772	4024	1181
773	4029	1176
774	4034	1171
775	4039	1166
776	4043	1160
777	4048	1155
778	4054	1150
779	4059	1144
780	4064	1139
781	4069	1134
782	4074	1129
